smiles,combo_reward,acid_reward,amine_reward,novel,makeable,price_usd,acid,amine
CNC(=O)Cc1cccc(C(=O)c2ccccc2)c1,16.59,8.05,8.54,True,True,295,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CN
O=Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.57,8.37,8.2,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,Nc1ncc(C=O)s1
Cc1cnc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)s1,16.55,8.05,8.5,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,Cc1cnc(N)s1
CCOC(=O)Cc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,16.55,8.05,8.5,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CCOC(=O)Cc1ccc(N)cc1
CC(=O)c1csc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)n1,16.55,8.05,8.5,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CC(=O)c1csc(N)n1
CNC(=O)c1cnc(NCc2cccc(C(=O)c3ccccc3)c2)s1,16.54,8.0,8.54,False,True,125,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,CN
COC1CC2CCC(C1)N2C(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,16.5,9.2,7.3,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,COC1CC2CCC(C1)N2
O=Cc1cnc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.5,8.3,8.2,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,Nc1ncc(C=O)s1
CC(=O)c1csc(NC(=O)c2cnc(NCc3cccc(C(=O)c4ccccc4)c3)s2)n1,16.5,8.0,8.5,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,CC(=O)c1csc(N)n1
O=C(NCc1ncccn1)c1cccc(C(=O)c2ccccc2)c1,16.47,8.37,8.1,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.47,8.37,8.1,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,COC(=O)c1cnc(N)s1
O=C(Cc1cccc(C(=O)c2ccccc2)c1)Nc1ccc(CO)cc1,16.45,8.05,8.4,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1
O=C(Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1)NCc1ncccn1,16.4,8.3,8.1,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.4,8.3,8.1,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,COC(=O)c1cnc(N)s1
O=Cc1cnc(NC(=O)c2cnc(NCc3ccc(C(=O)c4ccccc4)cc3)s2)s1,16.4,8.2,8.2,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,Nc1ncc(C=O)s1
